koi_disposition,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_teq,koi_steff,koi_slogg,koi_srad
CONFIRMED,9.48803557,170.53875,0.146,2.9575,6.16E+02,793,5455,4.467,0.927
CONFIRMED,54.4183827,162.51384,0.586,4.507,8.75E+02,443,5455,4.467,0.927
CANDIDATE,19.89913995,175.850252,0.969,1.7822,1.08E+04,638,5853,4.544,0.868
FALSE POSITIVE,1.736952453,170.307565,1.276,2.40641,8.08E+03,1395,5805,4.564,0.791
CONFIRMED,2.525591777,171.59555,0.701,1.6545,6.03E+02,1406,6031,4.438,1.046
CONFIRMED,11.09432054,171.20116,0.538,4.5945,1.52E+03,835,6046,4.486,0.972
CONFIRMED,4.13443512,172.97937,0.762,3.1402,6.86E+02,1160,6046,4.486,0.972
CONFIRMED,2.56658897,179.55437,0.755,2.429,2.27E+02,1360,6046,4.486,0.972
FALSE POSITIVE,7.36178958,132.25053,1.169,5.022,2.34E+02,1342,6227,3.986,1.958
CONFIRMED,16.06864674,173.621937,0.052,3.5347,4.91E+03,600,5031,4.485,0.848
CONFIRMED,2.470613377,122.763305,0.818,1.74319,1.42E+04,1339,5820,4.457,0.964
CONFIRMED,2.204735417,121.3585417,0.224,3.88864,6.67E+03,2048,6440,4.019,1.952
CONFIRMED,3.522498429,121.1194228,0.631,3.19843,9.15E+03,1521,6225,4.169,1.451
CONFIRMED,3.709214104,133.98318,0.051,2.6302,1.31E+02,1206,5833,4.407,1.022
FALSE POSITIVE,11.52144606,170.839688,2.483,3.6399,1.80E+04,753,5795,4.554,0.848
FALSE POSITIVE,19.40393776,172.484253,0.804,12.2155,8.92E+03,523,5043,4.591,0.68
FALSE POSITIVE,19.22138894,184.5521637,1.065,4.79843,7.43E+04,698,6117,4.496,0.947
FALSE POSITIVE,16.46983774,180.881761,0.292,9.4378,1.05E+04,595,5152,4.517,0.786
CONFIRMED,9.27358173,173.258155,0.387,3.2875,1.29E+03,649,4856,4.583,0.696
CONFIRMED,6.02930329,171.602959,0.258,1.5821,1.91E+03,678,4537,4.648,0.672
FALSE POSITIVE,2.696370652,170.73769,0.044,3.6129,3.98E+02,1066,4989,4.504,0.819
CONFIRMED,5.349553819,171.80694,0.092,3.0278,8.31E+02,919,5185,4.44,0.91
CONFIRMED,3.94105221,136.08662,0.226,2.5984,3.63E+02,1018,5185,4.44,0.91
CONFIRMED,8.10904807,132.8031,0.025,3.596,2.17E+02,800,5185,4.44,0.91
FALSE POSITIVE,386.6030528,166.342079,0.9765,6.8057,2.49E+04,297,5543,4.081,1.58
CONFIRMED,21.67699193,171.53594,0.896,3.4555,8.57E+02,530,4954,4.5,0.828
CONFIRMED,4.99677968,171.74208,0.71,2.1717,9.35E+02,917,5339,4.552,0.847
CONFIRMED,4.280963604,171.89659,0.424,2.875,7.51E+02,1012,5644,4.564,0.831
FALSE POSITIVE,1.50635409,170.998064,0.86,1.5155,2.21E+03,1452,5714,4.563,0.831
FALSE POSITIVE,670.645531,209.04355,0.701,53.412,1.81E+04,196,5520,4.466,0.983
FALSE POSITIVE,61.2563628,173.83826,1.248,7.633,5.12E+03,505,6144,4.402,1.091
CONFIRMED,38.3775486,172.82048,0.468,5.588,7.24E+02,529,5481,4.369,1.036
CONFIRMED,41.19725502,165.00404,0.045,4.6297,2.21E+03,439,5031,4.485,0.848
CONFIRMED,6.252962249,171.30126,0.105,2.5819,1.04E+03,823,5031,4.485,0.848
CONFIRMED,16.01308419,176.3608,0.799,3.2554,1.12E+03,593,5015,4.499,0.826
CONFIRMED,32.62876672,194.1019,0.021,4.7971,1.80E+03,506,5586,4.56,0.798
